Movie_name,Year,Director(s),AVG,ALI,Masoud,Hossein,Ali H,Omid,Azin,Sajad,eVE,MehrNaZ,Shaqayeq,Sahar
Mary Queen of Scots,2018,,6.4,6.4,,,,,,,,,,
Devil,2010,John Erick Dowdle,6.4,6.4,,,,,,,,,,
Cinco de Mayo_ La Batalla,2013,,6.4,6.4,,,,,,,,,,
Captain Alatriste,,,6.4,6.4,,,,,,,,,,
Bird Box,2018,Susanne Bier,6.4,6.4,,,,,,,,,,
Beauty and the Beast,1991,,6.4,6.4,,,,,,,,,,
Alois Nebel,2011,,6.4,6.4,,,,,,,,,,
Star Wars: A New Hope,1997,George Lucas,6.4,6.4,,,,,,,,,,
Interview with the Vampire,1994,Neil Jordan,6.4,6.7,5.5,7,,,,,,,,
How to Train Your Dragon,,,6.38,6.1,6.4,6.5,,,,,6.5,,,
Midnight in Paris,2011,Woody Allen,6.38,6.5,6.3,6.5,,,,,6.2,,,
Brave,2012,,6.35,6,,7,6.2,,,,6.2,,,
The Croods,2013,,6.35,6.2,,,,,,,6.5,,,
Johnny English reborn,2011,,6.35,6.2,,,6.5,,,,,,,
The Gentlemen,2019,Guy Ritchie,6.35,6,,6.5,,6.4,,,6.5,,,
American Sniper,2014,Clint Eastwood,6.33,5.8,,,6.3,6.8,,,6.4,,,
The Hobbit: An Unexpected Journey,2012,Peter Jackson,6.33,6,6,,6.7,6.6,,,,,,
Southpaw,2015,,6.3,6.2,,,,,,,6.4,,,
Monsters University,2013,,6.3,6.2,,,,,,,6.4,,,
Hangover II,,,6.3,5.5,,6.5,7,,,,6.2,,,
The Hidden Face,2011,Andrés Baiz,6.3,,6.3,,,,,,,,,
No Sudden Move,2021,Steven Soderbergh,6.3,,,,,6.3,,,,,,
The Painted Veil,2006,,6.3,6.3,,,,,,,,,,
the messenger the story of Joan of Arc,1999,,6.3,6.3,,,,,,,,,,
Mortal Engines,2018,Christian Rivers,6.3,6.3,,,,,,,,,,
Jason and the Argonauts,2000,,6.3,6.3,,,,,,,,,,
Final destination 1,2000,,6.3,6.3,,,,,,,,,,
Bad Times at El Royale,2016,Drew Goddard,6.3,6.3,,,,,,,,,,
Dan in Real Life,2007,Peter Hedges,6.3,6.3,,,,,,,,,,
time crimes,2007,nacho vigalondo,6.3,,,,,,,,6.3,,,
Pirates of the Caribbean: On Stranger Tides,2011,Rob Marshall,6.3,5.6,,7,,6.3,,,,,,
The Conjuring 2,2016,James Wan,6.26,7.3,7,6.5,4,6.5,,,,,,
Les Misérables,2012,Tom Hooper,6.25,6.8,,,,,,,5.7,,,
Dawn of Planet of The Apes,,,6.25,5.5,,7,,,,,,,,
"Love, Simon",2018,Greg Berlanti,6.25,6.2,,,,,,,6.3,,,
Daddys Home ,2015,,6.25,5,,,7.5,,,,,,,
Apocalypse Now,1979,Francis Ford Coppola,6.23,6,5.5,,,7.2,,,,,,
World War Z,2013,Marc Forster,6.23,6.4,,,6.3,6,,,,,,
John Wick,2014,"Chad Stahelski, David Leitch",6.22,4.3,6.5,,7,6.5,,,6.8,,,
Mr. Peabody & Sherman,2014,,6.2,6.2,,,,,,,6.2,,,
Turbo ,2013,,6.2,6.2,,,,,,,6.2,,,
Immortal Beloved,1994,Bernard Rose,6.2,,6.2,,,,,,,,,
Suicide Squad 1,,,6.2,5,,6.4,7.2,,,,6.2,,,
Enter the Void,2009,Gaspar Noé,6.2,,,,,6.2,,,,,,
Body of Lies,2008,Ridley Scott,6.2,,,,,6.2,,,,,,
The whole nine yards,2000,,6.2,6.2,,,,,,,,,,
The Liberator,2013,,6.2,6.2,,,,,,,,,,
the family,2013,,6.2,6.2,,,,,,,,,,
The Damned United,2009,,6.2,6.2,,,,,,,,,,
Stuck in love,2012,,6.2,6.2,,,,,,,,,,
Dorian Gray,2009,,6.2,6.2,,,,,,,,,,
Murder on the Orient Express,2017,Kenneth Branagh,6.2,6.2,,,,,,,6.2,,,
the guilty,2021,antoine Fuqua,6.2,,,,,,,,6.2,,,
the brothers grimsby,2016,louis leterrier,6.2,,,,,,,,6.2,,,
Bridge of Spies,2015,Steven Spielberg,6.15,5.1,,,,7.2,,,,,,
The Book of Eli,2010,"Albert Hughes, Allen Hughes",6.15,5.7,,,,6.6,,,,,,
Ocean's Eleven,2001,Steven Soderbergh,6.15,6.1,,,,6.2,,,,,,
Johny English strikes again,2018,,6.15,5.8,,,6.5,,,,,,,
Jurassic world,2015,,6.15,6.3,,,6,,,,,,,
Game Night,2018,"John F. Daley, Jonathan Goldstein",6.15,6,,,,,,,6.3,,,
You Don't Know Jack,2010,Barry Levinson,6.1,,6.1,,,,,,,,,
Filth,2013,,6.1,6.2,6,,,,,,,,,
Notes on a Scandal,2006,Richard Eyre,6.1,,,,,6.1,,,,,,
War Of The World,2005,,6.1,6.1,,,,,,,,,,
Unknown,2006,Simon Brand,6.1,6.1,,,,,,,,,,
The Island,2005,,6.1,6.1,,,,,,,,,,
Spiderman into the spider verse,2018,,6.1,6.1,,,,,,,,,,
Septembers of Shiraz,2015,,6.1,6.1,,,,,,,,,,
My Week with Marilyn,,,6.1,6.1,,,,,,,,,,
Mad Max 2,1981,,6.1,6.1,,,,,,,,,,
Battle for Sevastopol,2015,,6.1,6.1,,,,,,,,,,
Enter Nowhere,2011,Jack Heller,6.1,6.1,,,,,,,,,,
Don't Breath,2016,Peter Hedges,6.1,6,,,,,,,6.2,,,
this means war,2012,,6.1,,,,,,,,6.1,,,
Gone Girl,2014,David Fincher,6.08,3.3,5.4,7,,7.5,,,6.3,7,,
Shaolin Soccer,2001,,6.07,6.6,5.7,5.9,,,,,,,,
Pirates of the Caribbean: Dead Men Tell No Tales,2017,"Joachim Rønning, Espen Sandberg",6.07,5,,6,7.2,,,,,,,
Logan,2017,James Mangold,6.07,6,,,6,6.2,,,,,,
harry potter and order of the phoenix,,,6.05,6.1,,,6,,,,,,,
Pride & Prejudice,2005,,6.05,6.1,,,,,,,6,,,
The Italian Job,2003,F. Gary Gray,6.05,6.1,,,,6,,,,,,
Exodus: Gods and Kings,2014,Ridley Scott,6.05,6.1,,,,6,,,,,,
Alien: Covenant,2017,Ridley Scott,6.05,6.1,,,,6,,,,,,
the experiment,,,6.05,6,,,,,,,6.1,,,
guardians of the galaxy,,,6.05,5.1,,7,,,,,,,,
American pie,,,6.05,6.1,,6,,,,,,,,
Warcraft,2016,Duncan Jones,6,6.3,,6,,6,,,5.7,,,
Rush,2013,Ron Howard,6,,6,,,,,,,,,
Focus,2015,"Glenn Ficarra, John Requa",6,,5,,7,,,,,,,
Life of Pi,2012,Ang Lee,6,7,5,,,,,,,,,
kill your darlings,2013,,5.8,,,,,,,,5.8,,,
Black Hawk Down,2001,Ridley Scott,6,5.5,,,,6.5,,,,,,
Disobedience,2017,Sebastián Lelio,6,,,,,6,,,,,,
harry potter and prisoner of azkaban,,,6,6,,5,7,,,,,,,
Wasabi,2001,,6,6,,,,,,,,,,
War for the Planet of the Apes,2017,,6,6,,,,,,,,,,
The.Chronicles.of.Narnia,,,6,6,,,,,,,,,,
The Mask of Zorro,,,6,6,,,,,,,,,,
Sharpe's Waterloo,1997,,6,6,,,,,,,,,,
Mad Max 1,1979,,6,6,,,,,,,,,,
Lone Ranger,2013,,6,6,,,,,,,,,,
It's complicated,2009,,6,6,,,,,,,,,,
In the Heart of the Sea,2015,,6,6,,,,,,,,,,
Cube,1997,,6,6,,,,,,,,,,
About Time,2013,,6,6,,,,,,,,,,
A Little Chaos,2014,,6,6,,,,,,,,,,
Let's be Cops,2014,Luke Greenfield,6,6,,,,,,,,,,
I am Mother,2019,Grant Sputore,6,6,,,,,,,,,,
On the Basis of Sex,2018,Mimi Leder,6,6,,,,,,,,,,
extremely wicked shockingly evil and vile,2019,,6,,,,,,,,6,,,
the edge of seventeen,2016,,6,,,,,,,,6,,,
the vault,2021,,6,,,,,,,,6,,,
mary shelley,2017,,6,,,,,,,,6,,,
Ted 2,2015,Seth MacFarlane,6,5,,6,7,,,,,,,
deadpool 2,2018,,5.93,4.3,,7,6.5,,,,,,,
Moonlight,2016,Barry Jenkins,5.9,,,,,5.9,,,,,,
X-Men,2000,brian Singer,5.9,6,,,,5.8,,,,,,
Sin City,2005,"Frank Miller, Robert Rodriguez, Quentin Tarantino",5.9,6,,6.1,5.5,6,,,,,,
The Devil All the Time,2020,Antonio Campos,5.9,,6,,,,,,5.8,,,
Wonder,2017,,5.9,,5.9,,,,,,,,,
dead man down,2013,Niels Arden Oplev,5.9,,,,,,,,5.9,,,
Saw,2004,James Wan,5.9,,,,,5.9,,,,,,
Basic Instinct,1992,Paul Verhoeven,5.9,,,,,5.9,,,,,,
Jackie Brown,,,5.9,,,5.9,,,,,,,,
Equalizer,,,5.9,,,5.9,,,,,,,,
The Young and Prodigious T.S. Spivet,,,5.9,5.9,,,,,,,,,,
Colonia,2015,,5.9,5.9,,,,,,,,,,
Star Trek,2016,J. J. Abrams,5.9,5.9,,,,,,,,,,
shiva baby,2020,emma seligman,5.9,,,,,,,,5.9,,,
the art of getting by,2011,,5.9,,,,,,,,5.9,,,
dont breath 2,2021,,5.9,,,,,,,,5.9,,,
the beautiful fantastic,2016,,5.9,,,,,,,,5.9,,,
Now You See Me,2013,Louis Leterrier,5.9,6,6.5,,,5.2,,,,,,
Jumanji: Welcome to the Jungle,2017,,5.9,5.5,,6,6.2,,,,,,,
Non-Stop,,,5.85,5.8,5.8,,,5.9,,,5.9,,,
Carol,2015,Todd Haynes,5.85,,5,6,4,8.4,,,,,,
The Hangover Part III,,,5.83,5,,6.5,6,,,,,,,
Dreamland,2020,Miles Joris-Peyrafitte,5.8,,,,,,,,5.8,,,
Terminator: Dark Fate,2019,Tim Miller,5.8,,,,,5.8,,,,,,
You were never really here,2017,,5.8,5.8,,,,,,,,,,
The Man In The Iron Mask,1998,,5.8,5.8,,,,,,,,,,
The call of the wild,,,5.8,5.8,,,,,,,,,,
The Ant Bully ,2006,,5.8,5.8,,,,,,,,,,
Nut job,,,5.8,5.8,,,,,,,,,,
Bruce Almighty,,,5.8,5.8,,,,,,,,,,
Alita: Battle Angel,2016,Robert Rodriguez,5.8,5.8,,,,,,,,,,
bad teacher,2011,,5.8,,,,,,,,5.8,,,
We're the Millers,2013,,5.8,4.5,,7,,,,,5.9,,,
in your eyes,2014,,5.8,,,,,,,,5.8,,,
Mr. Brooks,2007,Bruce Evans,5.77,5.8,5,6.5,,,,,,,,
Centurion,2010,,5.75,6.4,5.1,,,,,,,,,
Five Feet Apart,2019,,5.75,5.5,,,,,,6,,,,
Ready Player One,2018,Steven Spielberg,5.75,5,,6.5,,,,,,,,
"Crazy, Stupid, Love.",2011,"Glenn Ficarra, John Requa",5.7,5,,,,,,,6.4,,,
Unknown,2011,Jaume Collet-Serra,5.7,5.7,,,,,,,,,,
Gringo,2018,,5.7,5.7,,,,,,,,,,
Greenland,2020,Ric Roman Waugh,5.7,5.7,,,,,,,,,,
A Cat in Paris ,2010,,5.7,5.7,,,,,,,,,,
overdrive,2017,Antonio negret,5.7,,,,,,,,5.7,,,
the king of staten island,2020,,5.7,,,,,,,,5.7,,,
nerve,2016,,5.7,,,,,,,,5.7,,,
romeo and juliet,2013,,5.2,,,,,,,,5.2,,,
Noah,2014,Darren Aronofsky,5.65,6,,,,4.8,,6.5,5.3,,,
Captain America: Civil War,2016,,5.65,5.3,,,6,,,,,,,
Bolt,2008,,5.6,6.4,,5.9,4.5,,,,,,,
Terminator 3: Rise of the Machines,2003,Jonathan Mostow,5.6,,5,,5.8,6,,,,,,
Frozen,2013,,5.6,4.8,5,8,,,,,5.2,5,,
Predestination,2014,"Michael Spierig, Peter Spierig",5.6,,,,,4.8,,,6.4,,,
12 Strong,2018,Nicolai Fuglsig,5.6,,,,,5.6,,,,,,
Stonehearst Asylum,2014,,5.6,5.6,,,,,,,,,,
vivarium,2019,lorcan finnegan,5.6,,,,,,,,5.6,,,
the vanishing of sidney hall,2017,,5.6,,,,,,,,5.6,,,
never rarely sometomes always,2020,,5.6,,,,,,,,5.6,,,
friends with benefits,2011,,5.6,,,,,,,,5.6,,,
the internship,2013,,5.6,,,,,,,,5.6,,,
Spider-Man,2002,Sam Raimi,5.54,5.4,4.5,6.4,6,5.4,,,,,,
Man on Fire,,,5.5,,5.5,,,,,,,,,
Tag,2018,Jeff Tomsic,5.5,,,5.5,,,,,,,,
Argo ,2012,Ben Affleck,5.5,4,,5.1,,7.4,,,,,,
wonder woman,2017,,5.5,,,5.5,,,,,,,,
Justice League,2017,,5.5,,,5.5,,,,,,,,
The Weather Man,2005,,5.5,5.5,,,,,,,,,,
Seraphim Falls,2006,,5.5,5.5,,,,,,,,,,
Meet the Robinsons,2007,,5.5,5.5,,,,,,,,,,
Fools rush in,1997,,5.5,5.5,,,,,,,,,,
Divergent,2014,,5.5,5.5,,,,,,,,,,
Daddy's Home 2,2017,,5.5,5.5,,,,,,,,,,
Borat 2,,,5.5,5.5,,,,,,,,,,
Absolutely Anything,2015,,5.5,5.5,,,,,,,,,,
Lady of the Manor,2021,,5.5,,,5.5,,,,,,,,
Flight,2012,Robert Zemeckis,5.4,,5.1,,,5.7,,,,,,
Mars Attacks,,,5.4,,,5.4,,,,,,,,
Tower Heist,2011,,5.4,5.4,,,,,,,,,,
Regression,2015,,5.4,5.4,,,,,,,,,,
Puss in Boots,2011,,5.4,5.4,,,,,,,,,,
Red 2,,,5.37,3,,6,7.1,,,,,,,
Run All Night,2015,Jaume Collet-Serra,5.35,5.3,,,,5.4,,,,,,
Ant-Man,2015,,5.35,5.4,,,5.3,,,,,,,
Hell boy,,,5.3,4.9,5,6,,,,,,,,
The Devil's Double,2011,Lee Tamahori,5.3,,,,,5.3,,,,,,
Pokemon detective Pkachu,2019,,5.3,5.3,,,,,,,,,,
Labor day,2013,,5.3,5.3,,,,,,,,,,
Stardust,2018,Matthew Vaughn,5.3,5.3,,,,,,,,,,
Hereditary,2018,Ari Aster,5.28,4.4,5,5.1,,6.6,,,,,,
Fifty shades of grey,2015,,5.25,5.1,,,,,,,5.4,,,
Desperado,1995,Robert Rodriguez,5.2,5.5,5.3,,,4.8,,,,,,
The Piano,,,5.2,,5.2,,,,,,,,,
Mechanic: Resurrection,2016,Dennis Gansel,5.2,,,,,5.2,,,,,,
Bedtime Stories,2008,,5.2,4.9,,,5.5,,,,,,,
Horrible Bosses 2,,,5.2,5.2,,,,,,,,,,
X2,2003,brian Singer,5.2,5.2,,,,,,,,,,
beautiful creatures,2013,,5.2,,,,,,,,5.2,,,
scott pilgrim,,,5.15,5.6,,,,,,,4.7,,,
Public Enemies,2009,Michael Mann,5.13,5.1,5,,,,,,5.3,,,
Terminator Salvation,2009,McG,5.13,5.7,5,,,4.7,,,,,,
get hard,2015,,5.1,4.1,,6,5.2,,,,,,,
Excalibur,1981,John Boorman,5.1,,,,,5.1,,,,,,
Valiant,2005,,5.1,5.1,,,,,,,,,,
The Old Guard,2020,,5.1,5.1,,,,,,,,,,
Hall Pass,2011,Pete Jones,5.1,5.1,,,,,,,,,,
blended,,,5.05,5.1,,5,,,,,,,,
Clash of the Titans,2010,Louis Leterrier,5.03,5,4.7,5.9,,4.5,,,,,,
Palmer,2021,Fisher Stevens,5,,5,,,,,,,,,
Dog Soldiers,,,5,,5,,,,,,,,,
The Da Vinci Code,2006,Ron Howard,5,4,,,,6,,,,,,
King Arthur,2004,Antoine Fuqua,5,,,,,5,,,,,,
Madagascar - Escape 2 Africa,2008,,5,4,,,6,,,,,,,
Johnny English strikes again,2018,,5,4,,,6,,,,,,,
This Is The End,,,5,5,,,,,,,,,,
The Man from U.N.C.L.E.,2015,,5,5,,,,,,,,,,
The Counselor,2013,,5,5,,,,,,,,,,
Teenage Mutant Ninja Turtles,2014,,5,5,,,,,,,,,,
Serenity,2019,Steven Knight,5,5,,,,,,,,,,
Runaway.jury,2003,,5,5,,,,,,,,,,
just-go-with-it,,,5,5,,,,,,,,,,
jurassic world fallen kingdom,2018,,5,5,,,,,,,,,,
Dracula Untold,2014,,5,5,,,,,,,,,,
50_First_Dates,,,5,5,,,,,,,,,,
Easy A,2010,,5,,,5,,,,,,,,
Kiss.Kiss.Bang.Bang,2005,,4.95,5,,4.9,,,,,,,,
Taken,2008,,4.93,4.5,4.3,,,6,,,,,,
In Time,2011,Andrew Niccol,4.93,5,4.5,,,5.1,,,5.1,,,
The Vacation,,,4.9,,,5,,,,,4.8,,,
Moon,2009,Duncan Jones,4.9,5.1,5,2,,7.5,,,,,,
Cloudy with a Chance of Meatballs 2,,,4.9,1.6,,5,,,,,6.5,6.5,,
A Monster in Paris,2011,,4.9,4.3,,5.5,,,,,,,,
Free Birds,2013,,4.9,4.9,,,,,,,,,,
Escape Plan,2013,,4.85,5.7,,,4,,,,,,,
Kick-Ass,2010,Matthew Vaughn,4.8,4.2,4.6,6,,4.4,,,,,,
incredibles 2,2018,,4.75,4.3,,,5.2,,,,,,,
Monster House,2006,,4.75,4.5,,,5,,,,,,,
Ice Age: Dawn of the Dinosaurs,2009,,4.73,4.6,4.9,,4.7,,,,,,,
Jack the giant slayer,2013,,4.7,4.7,,,,,,,,,,
Kung Fu Panda 2,,,4.67,4.5,5,,4.5,,,,,,,
It,2017,Andy Muschietti,4.67,5.3,,,3,,,,5.7,,,
Nobody,2021,Ilya Naishuller,4.67,1.8,,,,6.1,,,6.1,,,
Ice Age: Continental Drift,2012,,4.65,4.8,4.5,,,,,,,,,
The Proposal,2009,Anne Fletcher,4.65,4.3,,5,,,,,,,,
a million ways to die in the west,,,4.65,5,,4.3,,,,,,,,
Indecent Proposal,1993,Adrian Lyne,4.6,,,,,4.6,,,,,,
equals,2015,,4.6,,,,,,,,4.6,,,
Hitman: Agent 47,2015,Aleksander Bach,4.57,,,4.3,5.5,3.9,,,,,,
Solomon Kane,,,4.5,,4.5,,,,,,,,,
2012,2009,Roland Emmerich,4.5,3.7,,,,5.3,,,,,,
despicable me 3,2017,,4.5,4,,,5,,,,,,,
6 Underground,2019,Michael Bay,4.5,4,,,5,,,,,,,
The Water Diviner,2014,,4.5,4.5,,,,,,,,,,
I Care a Lot,2020,J. Blakeson,4.5,4.5,,,,,,,,,,
clueless,1995,,4.5,,,,,,,,4.5,,,
Love,2015,Gaspar Noé,4.4,,,,,4.4,,,,,,
Godzilla vs Kong,2021,,4.4,4.4,,,,,,,,,,
the hitmans wifes bodyguard,2021,,4.4,,,,,,,,4.4,,,
The Expendables,2010,Sylvester Stallone,4.35,4.7,,,,4,,,,,,
"I, Robot",2004,Alex Proyas,4.3,4,4,,,4.9,,,,,,
lucy,2014,,4.3,5,,3.5,4.5,,,,4.2,,,
Skyscraper,2018,Rawson Marshall Thurber,4.3,,,,,4.3,,,,,,
Alexander,2004,Oliver Stone,4.3,4.5,,,,4.1,,,,,,
Sophie's Choice,,,4.3,,,4.3,,,,,,,,
The Dictator,2012,Larry Charles,4.3,2,,6,,4.9,,,,,,
San Andreas,2015,Brad Peyton,4.2,,,,,4.2,,,,,,
guardians of the galaxy 2,2017,,4.2,4.2,,,,,,,,,,
Here are the young men,2021,,4.2,,,,,,,,4.2,,,
The rebound,2009,Bart Freundlich,4,,4,,,,,,,,,
Terminator Genisys,2015,Alan Taylor,4,,,,,4,,,,,,
Mortal Kombat,2021,Simon McQuoid,4,4.2,,,,3.8,,,,,,
Triangle,2009,,4,4,,,,,,,,,,
fantastic beasts and where to find them,2017,,4,4,,,,,,,,,,
The Marksman,2021,Robert Lorenz,4,4,,,,,,,,,,
Hulk,2003,Ang Lee,4,4,,,,,,,,,,
Superbad,,,4,,,4,,,,,,,,
"Meet the Spartans",2008,,4,,,4,,,,,,,,
Me before You,2016,,3.93,4.8,,,2,,,,4.4,4.5,,
Fantastic Four,2005,Tim Story,3.9,4,4,4,,3.6,,,,,,
Clouds Of Sils Maria,2014,,3.9,3.9,,,,,,,,,,
avengers  age of ultron,2015,,3.9,,,,,,,,3.9,,,
amazing spiderman,,,3.8,2,,,5.6,,,,,,,
Prince of Persia: The Sands of Time,2010,Mike Newell,3.77,2.2,,,,5.4,,,3.7,,,
The Dreamers,2003,Bernardo Bertolucci,3.75,3,,,,4.5,,,,,,
Basic Instinct 2,2006,Michael Caton-Jones,3.7,,,,,3.7,,,,,,
Thor,2011,Kenneth Branagh,3.6,3.6,,,,,,,,,,
Abraham Lincoln: Vampire Hunter,2012,Timur Bekmambetov,3.55,,,4,,3.1,,,,,,
300,2006,Zack Snyder,3.33,4.1,2.4,,,3.5,,,,,,
Insurgent,2015,Robert Schwentke,3.2,3.4,,,3,,,,,,,
Twilight,2008,Catherine Hardwicke,3.2,3.2,,,,,,,,,,
Knock Knock,2015,Eli Roth,3.1,3,,,,3.2,,,,,,
The Girl Next Door,2004,Luke Greenfield,3.03,0.1,4,5,,,,,,,,
The Swindlers,2017,Chang Won Jang,3,,3,,,,,,,,,
Original Sin,2001,Michael Cristofer,3,,,,,3,,,,,,
Selfless,2015,Tarsem Singh,3,3,,,,,,,,,,
alpha house,,,3,,,3,,,,,,,,
The Whole Ten Yards ,2004,Howard Deutch,2.9,2.9,,,,,,,,,,
Season of the Witch,2011,Dominic Sena,2.9,2.9,,,,,,,,,,
Extinction,2018,Spencer Cohen,2.8,2.8,,,,,,,,,,
G-Force,2009,Hoyt Yeatman,2.7,1.1,,4.3,,,,,,,,
Zombieland,2009,Ruben Fleischer,2.65,2.3,,3,,,,,,,,
Transformers: Revenge of the Fallen,2009,Michael Bay,2.63,1,3,3.9,,,,,,,,
The Day the Earth Stood Still,2008,Scott Derrikson,2.4,2.4,,,,,,,,,,
Resident Evil: Degeneration,2008,Makoto Kamiya,2,2,,,,,,,,,,
locked up,2017,,2,,,2,,,,,,,,
Mr. Deeds,2002,Steven Brill,1.9,1.9,,,,,,,,,,
Tau,2018,federico D'Alessandro,1.1,1.1,,,,,,,,,,
The Hunt,2020,Craig Zobel,0.8,0.8,,,,,,,,,,
Happy Gilmore,1996,Dennis Dugan,0.7,0.7,,,,,,,,,,
The Ridiculous 6,2015,Frank Coraci,0.6,0.6,,,,,,,,,,
Priceless,2016,Ben Smallbone,0.3,0.3,,,,,,,,,,
escape room tournament of champions,2021,,4.3,,,,,,,,4.3,,,
