Movie_name,Year,Director(s),AVG,ALI,Masoud,Hossein,Ali H,Omid,Azin,Sajad,eVE,MehrNaZ,Shaqayeq,Sahar
The Princess Bride ,1987,Rob Reiner,8,8,,,,,,,,,,
Thank You for Smoking,2005,Jason Reitman,8,8,,,,,,,,,,
Taras Bulba,1962,J. Lee Thompson,8,8,,,,,,,,,,
Burn After Reading,2008,"Ethan Coen, Joel Coen",8,8,,,,,,,,,,
A.I. Artificial Intelligence,2001,Steven Spielberg,8,8,,,,,,,,,,
zorba the Greek,1964,Michael Cacoyannis,8,,,8,,,,,,,,
What we do in the shadows,2014,"Taika Waititi, Jemaine Clement",8,,,8,,,,,,,,
North by Northwest,1959,Alfred Hitchcock,7.97,,,,,7.8,,,,,8,8.1
Kingdom of Heaven,2005,Ridley Scott,7.97,7.5,,8.5,,7.9,,,,,,
The Cabinet of Dr. Caligari,1920,Robert Wiene,7.95,,,8,,7.9,,,,,,
1492: Conquest of Paradise,1992,Ridley Scott,7.95,7.9,,8,,,,,,,,
The Intouchables,2011,"Olivier Nakache, Éric Toledano",7.94,8,8.2,8.1,,7.9,,,7.7,,7.8,7.9
Dr. Strangelove,1964,Stanley Kubrick,7.94,7.6,8.5,8.2,,7.8,,,7.6,,,
Eternal Sunshine of the Spotless Mind,2004,Michel Gondry,7.94,8,,,,8,,,7.5,,8.2,8
Dallas Buyers Club,2013,Jean-Marc Vallée,7.93,,,7.2,,8.1,,8.5,,,,
Terminator 2: Judgment Day,1991,James Cameron,7.93,7.3,7.5,,8.3,8.6,,,,,,
Eyes Wide shut,1999,Stanley Kubrick,7.93,8.4,,7.7,,7.9,,,7.7,,,
Army of Shadows,1969,Jean-Pierre Melville,7.9,7.8,8.3,,,7.6,,,,,,
Stalker,1979,Andrei Tarkovsky,7.9,,8,,,7.8,,,,,,
Lost in Translation,2003,Sofia Coppola,7.9,,,,,7.9,,,,,,
Infernal Affairs,2002,"Andrew Lau, Alan Mak",7.9,,,,,7.9,,,,,,
In the Heat of the Night,1967,Norman Jewison,7.9,,,,,7.9,,,,,,
Escape from Alcatraz,1979,Don Siegel,7.9,,,,,7.9,,,,,,
Crash,2004,Paul Haggis,7.9,,,,,7.9,,,,,,
Breathless,1960,Jean-Luc Godard,7.9,,,,,7.9,,,,,,
3-Iron,2004,Kim Ki-duk,7.9,,,,,7.9,,,,,,
8 Mile,2002,Curtis Hanson,7.9,,,,7.9,,,,,,,
Taste of Cherry,1997,Abbas Kiarostami,7.9,,,7.9,,,,,,,,
Pan's Labyrinth,2006,Guillermo del Toro,7.9,8.1,,7.7,,,,,,,,
Amistad,1997,Steven Spielberg,7.9,7.9,,,,,,,,,,
African Cats,2011,"Keith Scholey, Alastair Fothergill",7.9,7.9,,,,,,,,,,
The Dry,2020,Robert Connolly,7.9,7.9,,,,,,,,,,
The Sisters Brothers,2018,Jacques Audiard,7.9,7.9,,,,,,,,,,
Mother!,2017,Darren Aronofsky,7.9,,7.4,8.1,,8.2,,,,,,
Groundhog Day,1993,Harold Ramis,7.87,,,,,7.8,,,,,7.9,7.9
Green Book,2018,Peter Farrelly,7.87,7.7,7,,,8.1,,,,8.3,8.1,8
Room,2015,Lenny Abrahamson,7.86,,,7.5,,8,,,7.9,,8,7.9
Seven Psychopaths,2012,Martin McDonagh,7.85,8.1,,,,,,,7.6,,,
Upgrade,2018,Leigh Whannell,7.83,7.7,8.1,8,,7.5,,,,,,
Scent of a Woman,1992,Martin Brest,7.83,,,,,7.9,,,7.7,,7.9,7.8
Manchester by the Sea,2016,Kenneth Lonergan,7.83,8.1,6.5,,,8.5,,8.2,,,,
Trainspotting,1996,Danny Boyle,7.83,7.7,8,7.6,,8,,,,,,
L.A. Confidential,1997,Curtis Hanson,7.8,7.7,,,,8,,,7.7,,,
The Birds,1963,Alfred Hitchcock,7.8,7.8,,8,,7.8,,,,,7.7,7.7
Children of Men,2006,Alfonso Cuarón,7.8,8.4,,,,7.8,,,7.2,,,
Charade,1963,Stanley Donen,7.8,,,,,7.8,,,,,,
Carlito's Way,1993,Brian De Palma,7.8,,,,,7.8,,,,,,
Blade Runner 2049,2017,Denis Villeneuve,7.8,,,,,7.8,,,,,,
Belle de Jour,1967,Luis Buñuel,7.8,,,,,7.8,,,,,,
Porco Rosso ,1992,Hayao Miyazaki,7.8,7.8,,,,,,,,,,
Mission: Impossible - Ghost Protocol,2011,Brad Bird,7.8,,,,8,7.6,,,,,,
No Country for Old Men,2007,"Ethan Coen, Joel Coen",7.77,,8.2,7,,8.3,,,8.3,,7.3,7.5
Requiem for a Dream,2000,Darren Aronofsky,7.77,7.4,,8,,7.9,,,,,,
Taxi Driver,1976,Martin Scorsese,7.76,7.5,7.3,7.4,8.2,8.4,,,,,,
Shutter Island,2010,Martin Scorsese,7.76,6.9,,8,7.4,8.7,,,7.8,,,
Citizen Kane,1941,Orson Welles,7.75,,,7.3,,8.2,,,,,,
The Girl with the Dragon Tattoo,2009,Niels Arden Oplev,7.75,7.4,,,,8.1,,,,,,
Mission: Impossible - Fallout,2018,"Anthony Russo, Joe Russo",7.75,8,,,7.5,,,,,,,
